date,t_max,t_min,precip,source
,28.3,13.0,0.0,eccc
,30.5,12.7,0.0,eccc
,30.7,13.9,0.1,eccc
,23.6,7.8,8.6,eccc
,24.2,5.3,0.0,eccc
,24.5,10.9,6.5,eccc
,24.7,12.1,0.7,eccc
,19.5,5.8,0.0,eccc
,23.1,3.4,0.0,eccc
,27.8,6.4,0.0,eccc
,32.5,16.2,3.7,eccc
,27.2,14.5,0.3,eccc
,28.8,12.4,0.0,eccc
,28.9,16.4,0.3,eccc
,31.2,15.1,0.0,eccc
,27.7,15.4,0.0,eccc
,24.5,10.2,0.0,eccc
,21.8,6.2,0.0,eccc
,29.6,13.0,1.0,eccc
,25.2,8.5,0.0,eccc
,28.8,6.1,0.0,eccc
,31.6,10.3,0.0,eccc
,20.8,5.8,1.1,eccc
,19.8,2.5,0.0,eccc
,16.1,8.5,1.5,eccc
,17.4,10.9,0.9,eccc
,25.0,8.1,0.0,eccc
,27.7,7.0,0.0,eccc
,25.0,13.4,10.9,eccc
,22.8,11.2,0.0,eccc
,19.8,9.9,0.4,eccc
,16.8,4.2,0.9,eccc
,20.2,4.1,0.3,eccc
,15.8,9.1,19.6,eccc
,17.1,4.8,0.0,eccc
,20.3,3.1,0.0,eccc
,23.8,3.5,0.0,eccc
,22.8,10.0,0.7,eccc
,21.3,6.0,0.0,eccc
,23.1,3.0,0.0,eccc
,25.3,3.1,0.0,eccc
,26.3,4.1,0.0,eccc
,22.9,6.9,0.0,eccc
,17.1,-0.2,0.0,eccc
,17.5,-2.7,0.0,eccc
,24.6,-3.3,1.1,eccc
,20.5,14.2,1.5,eccc
,20.7,15.0,16.4,eccc
,21.1,13.3,13.4,eccc
,17.6,11.8,0.0,eccc
,19.3,11.8,0.0,eccc
,21.6,7.9,0.0,eccc
,22.4,5.4,0.0,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
,,,,eccc
